Timestamp Temperature(°C) Humidity(%)
2024-09-23 05:18:51 26.14 51.65
2024-09-23 05:18:52 26.12 51.54
2024-09-23 05:18:54 26.13 51.56
2024-09-23 05:18:55 26.12 51.54
2024-09-23 05:18:57 26.14 51.53
2024-09-23 05:18:59 26.12 51.55
2024-09-23 05:19:00 26.12 51.53
2024-09-23 05:19:02 26.12 51.53
2024-09-23 05:19:03 26.10 51.52
2024-09-23 05:19:05 26.12 51.53
2024-09-23 05:19:06 26.11 51.52
2024-09-23 05:19:08 26.11 51.50
2024-09-23 05:19:09 26.11 51.48
2024-09-23 05:19:11 26.12 51.50
2024-09-23 05:19:12 26.11 51.50
2024-09-23 05:19:14 26.13 51.51
2024-09-23 05:19:15 26.13 51.50
2024-09-23 05:19:17 26.11 51.49
2024-09-23 05:19:18 26.12 51.51
2024-09-23 05:19:20 26.13 51.53
2024-09-23 05:19:21 26.13 51.50
2024-09-23 05:19:23 26.12 51.52
2024-09-23 05:19:24 26.12 51.54
2024-09-23 05:19:26 26.13 51.43
2024-09-23 05:19:27 26.11 51.49
2024-09-23 05:19:29 26.10 51.50
2024-09-23 05:19:30 26.12 51.50
2024-09-23 05:19:32 26.13 51.53
2024-09-23 05:19:33 26.11 51.54
2024-09-23 05:19:35 26.11 51.48
2024-09-23 05:19:36 26.12 51.50
2024-09-23 05:19:38 26.12 51.50
2024-09-23 05:19:39 26.10 51.53
2024-09-23 05:19:41 26.11 51.48
2024-09-23 05:19:42 26.09 51.49
2024-09-23 05:19:44 26.08 51.48
2024-09-23 05:19:45 26.10 51.48
2024-09-23 05:19:47 26.11 51.48
2024-09-23 05:19:48 26.09 51.50
2024-09-23 05:19:50 26.10 51.53
2024-09-23 05:19:51 26.10 51.45
2024-09-23 05:19:53 26.10 51.39
2024-09-23 05:19:54 26.10 51.42
2024-09-23 05:19:56 26.10 51.39
2024-09-23 05:19:57 26.11 51.36
2024-09-23 05:19:59 26.10 51.38
2024-09-23 05:20:01 26.11 51.38
2024-09-23 05:20:02 26.10 51.38
2024-09-23 05:20:04 26.08 51.33
2024-09-23 05:20:05 26.08 51.33
2024-09-23 05:20:07 26.10 51.28
2024-09-23 05:20:08 26.09 51.27
2024-09-23 05:20:10 26.10 51.28
2024-09-23 05:20:11 26.10 51.30
2024-09-23 05:20:13 26.09 51.31
2024-09-23 05:20:14 26.10 51.37
2024-09-23 05:20:16 26.08 51.33
2024-09-23 05:20:17 26.10 51.32
2024-09-23 05:20:19 26.08 51.34
2024-09-23 05:20:20 26.10 51.38
2024-09-23 05:20:22 26.09 51.34
2024-09-23 05:20:23 26.09 51.37
2024-09-23 05:20:25 26.08 51.34
2024-09-23 05:20:26 26.10 51.42
2024-09-23 05:20:28 26.10 51.43
2024-09-23 05:20:29 26.10 51.42
2024-09-23 05:20:31 26.11 51.46
2024-09-23 05:20:32 26.08 51.41
2024-09-23 05:20:34 26.08 51.38
2024-09-23 05:20:35 26.09 51.48
2024-09-23 05:20:37 26.09 51.44
2024-09-23 05:20:38 26.11 51.41
2024-09-23 05:20:40 26.09 51.45
2024-09-23 05:20:41 26.11 51.43
2024-09-23 05:20:43 26.09 51.41
2024-09-23 05:20:44 26.10 51.40
2024-09-23 05:20:46 26.10 51.40
2024-09-23 05:20:47 26.10 51.39
2024-09-23 05:20:49 26.10 51.40
2024-09-23 05:20:50 26.10 51.36
2024-09-23 05:20:52 26.07 51.33
2024-09-23 05:20:53 26.10 51.40
2024-09-23 05:20:55 26.08 51.35
2024-09-23 05:20:56 26.08 51.29
2024-09-23 05:20:58 26.07 51.34
2024-09-23 05:21:00 26.08 51.37
2024-09-23 05:21:01 26.07 51.30
2024-09-23 05:21:03 26.09 51.33
2024-09-23 05:21:04 26.08 51.34
2024-09-23 05:21:06 26.09 51.34
2024-09-23 05:21:07 26.06 51.28
2024-09-23 05:21:09 26.09 51.35
2024-09-23 05:21:10 26.08 51.34
2024-09-23 05:21:12 26.09 51.36
2024-09-23 05:21:13 26.08 51.34
2024-09-23 05:21:15 26.09 51.36
2024-09-23 05:21:16 26.07 51.36
2024-09-23 05:21:18 26.08 51.39
2024-09-23 05:21:19 26.08 51.34
2024-09-23 05:21:21 26.08 51.39
2024-09-23 05:21:22 26.09 51.41
2024-09-23 05:21:24 26.09 51.42
2024-09-23 05:21:25 26.07 51.35
2024-09-23 05:21:27 26.07 51.44
2024-09-23 05:21:28 26.09 51.42
2024-09-23 05:21:30 26.08 51.41
2024-09-23 05:21:31 26.08 51.39
2024-09-23 05:21:33 26.07 51.42
2024-09-23 05:21:34 26.06 51.46
2024-09-23 05:21:36 26.07 51.43
2024-09-23 05:21:37 26.07 51.41
2024-09-23 05:21:39 26.06 51.41
2024-09-23 05:21:40 26.07 51.42
2024-09-23 05:21:42 26.06 51.45
2024-09-23 05:21:43 26.06 51.41
2024-09-23 05:21:45 26.08 51.42
2024-09-23 05:21:46 26.07 51.44
2024-09-23 05:21:48 26.06 51.41
2024-09-23 05:21:49 26.08 51.33
2024-09-23 05:21:51 26.06 51.37
2024-09-23 05:21:52 26.08 51.35
2024-09-23 05:21:54 26.06 51.34
2024-09-23 05:21:55 26.05 51.32
2024-09-23 05:21:57 26.05 51.30
2024-09-23 05:21:58 26.06 51.28
2024-09-23 05:22:00 26.05 51.23
2024-09-23 05:22:02 26.05 51.25
2024-09-23 05:22:03 26.07 51.25
2024-09-23 05:22:05 26.06 51.24
2024-09-23 05:22:06 26.06 51.28
